LLM,Question,Response,Duration
llama3.2:3b,Who wrote 'Sermo asceticus'?,"{'result': 'I couldn\'t find any information on who wrote the work ""Sermo asceticus"".', 'sparql_query': 'PREFIX coptic: <http://www.semanticweb.org/sjhuskey/ontologies/2025/7/coptic-metadata-viewer/>\n    PREFIX dcterms: <http://purl.org/dc/terms/>\n    PREFIX frbr: <http://purl.org/vocab/frbr/core#>\n\n    SELECT ?authorName WHERE {\n      ?work a frbr:Work ;\n             dcterms:title ""Sermo asceticus"" ;\n             dcterms:creator ?author .\n      ?author foaf:name ?authorName .\n    }', 'rows': ['Stephen of Thebes', 'ⲥⲧⲉⲫⲁⲛⲟⲥ', 'Στέφανος']}",43.71739912033081
llama3.2:3b,'Sermo asceticus' is part of which manuscript?,"{'result': 'No results found.', 'sparql_query': 'PREFIX coptic: <http://www.semanticweb.org/sjhuskey/ontologies/2025/7/coptic-metadata-viewer/>\n    PREFIX dcterms: <http://purl.org/dc/terms/>\n\n    SELECT ?manuscript\n    WHERE {\n      ?title a coptic:Title ;\n             dcterms:isPartOf ?manuscript ;\n             rdfs:label ""\'Sermo asceticus\'"" .\n    }', 'rows': []}",37.2476909160614
llama3.2:3b,Manuscript 575 is part of which collection?,"{'result': 'No results found.', 'sparql_query': 'PREFIX coptic: <http://www.semanticweb.org/sjhuskey/ontologies/2025/7/coptic-metadata-viewer/>\n    PREFIX dcmitype: <http://purl.org/dc/dcmitype/>\n    PREFIX dcterms: <http://purl.org/dc/terms/>\n\n    SELECT ?collectionLabel\n    WHERE {\n      ?manuscript a coptic:Manuscript ;\n                  dcterms:identifier ""575"" ;\n                  dcterms:isPartOf ?collection .\n      ?collection a dcmitype:Collection ;\n                   rdfs:label ?collectionLabel .\n    }', 'rows': []}",14.949313879013062
llama3.2:3b,Which manuscripts contain a work with the title 'Bible: Epistulae Pauli'?,"{'result': ""Based on the provided SPARQL query results, I was unable to find any information about manuscripts containing a work with the title 'Bible: Epistulae Pauli'."", 'sparql_query': 'PREFIX coptic: <http://www.semanticweb.org/sjhuskey/ontologies/2025/7/coptic-metadata-viewer/>\n    PREFIX dcterms: <http://purl.org/dc/terms/>\n    PREFIX frbr: <http://purl.org/vocab/frbr/core#>\n\n    SELECT ?manuscript\n    WHERE {\n      ?manuscript a coptic:Manuscript ;\n                 dcterms:hasPart ?work .\n      ?work a frbr:Work ;\n            dcterms:title ""Bible: Epistulae Pauli"" .\n    }', 'rows': ['http://paths.uniroma1.it/atlas/manuscripts/6399', 'http://paths.uniroma1.it/atlas/manuscripts/1231', 'http://paths.uniroma1.it/atlas/manuscripts/1233', 'http://paths.uniroma1.it/atlas/manuscripts/1234', 'http://paths.uniroma1.it/atlas/manuscripts/1237', 'http://paths.uniroma1.it/atlas/manuscripts/1240', 'http://paths.uniroma1.it/atlas/manuscripts/1257', 'http://paths.uniroma1.it/atlas/manuscripts/1265', 'http://paths.uniroma1.it/atlas/manuscripts/1268', 'http://paths.uniroma1.it/atlas/manuscripts/1270', 'http://paths.uniroma1.it/atlas/manuscripts/1273', 'http://paths.uniroma1.it/atlas/manuscripts/1406', 'http://paths.uniroma1.it/atlas/manuscripts/1409', 'http://paths.uniroma1.it/atlas/manuscripts/1421', 'http://paths.uniroma1.it/atlas/manuscripts/2254', 'http://paths.uniroma1.it/atlas/manuscripts/2257', 'http://paths.uniroma1.it/atlas/manuscripts/2258', 'http://paths.uniroma1.it/atlas/manuscripts/2259', 'http://paths.uniroma1.it/atlas/manuscripts/6723', 'http://paths.uniroma1.it/atlas/manuscripts/6744', 'http://paths.uniroma1.it/atlas/manuscripts/9', 'http://paths.uniroma1.it/atlas/manuscripts/1252', 'http://paths.uniroma1.it/atlas/manuscripts/209', 'http://paths.uniroma1.it/atlas/manuscripts/2237', 'http://paths.uniroma1.it/atlas/manuscripts/2238', 'http://paths.uniroma1.it/atlas/manuscripts/2239', 'http://paths.uniroma1.it/atlas/manuscripts/2242', 'http://paths.uniroma1.it/atlas/manuscripts/2244', 'http://paths.uniroma1.it/atlas/manuscripts/2245', 'http://paths.uniroma1.it/atlas/manuscripts/2246', 'http://paths.uniroma1.it/atlas/manuscripts/2247', 'http://paths.uniroma1.it/atlas/manuscripts/2248', 'http://paths.uniroma1.it/atlas/manuscripts/4312', 'http://paths.uniroma1.it/atlas/manuscripts/2250', 'http://paths.uniroma1.it/atlas/manuscripts/8', 'http://paths.uniroma1.it/atlas/manuscripts/916', 'http://paths.uniroma1.it/atlas/manuscripts/956', 'http://paths.uniroma1.it/atlas/manuscripts/10', 'http://paths.uniroma1.it/atlas/manuscripts/1250', 'http://paths.uniroma1.it/atlas/manuscripts/1413', 'http://paths.uniroma1.it/atlas/manuscripts/2243', 'http://paths.uniroma1.it/atlas/manuscripts/955', 'http://paths.uniroma1.it/atlas/manuscripts/919', 'http://paths.uniroma1.it/atlas/manuscripts/987', 'http://paths.uniroma1.it/atlas/manuscripts/2256', 'http://paths.uniroma1.it/atlas/manuscripts/954', 'http://paths.uniroma1.it/atlas/manuscripts/964', 'http://paths.uniroma1.it/atlas/manuscripts/6585', 'http://paths.uniroma1.it/atlas/manuscripts/513', 'http://paths.uniroma1.it/atlas/manuscripts/2249', 'http://paths.uniroma1.it/atlas/manuscripts/1417', 'http://paths.uniroma1.it/atlas/manuscripts/1236', 'http://paths.uniroma1.it/atlas/manuscripts/1238', 'http://paths.uniroma1.it/atlas/manuscripts/2241', 'http://paths.uniroma1.it/atlas/manuscripts/1247', 'http://paths.uniroma1.it/atlas/manuscripts/1629', 'http://paths.uniroma1.it/atlas/manuscripts/208', 'http://paths.uniroma1.it/atlas/manuscripts/800', 'http://paths.uniroma1.it/atlas/manuscripts/510', 'http://paths.uniroma1.it/atlas/manuscripts/512', 'http://paths.uniroma1.it/atlas/manuscripts/514', 'http://paths.uniroma1.it/atlas/manuscripts/2240', 'http://paths.uniroma1.it/atlas/manuscripts/509', 'http://paths.uniroma1.it/atlas/manuscripts/64']}",16.855109930038452
llama3.2:3b,What is the description of manuscript 130?,"{'result': ""I don't have information on a specific manuscript numbered 130. The provided text appears to be related to another manuscript, possibly Proverbio 2012, which was acquired by Giuseppe Simonio Assemani and has undergone various transfers between institutions. If you could provide more context or clarify the question, I'll do my best to assist you."", 'sparql_query': 'PREFIX coptic: <http://www.semanticweb.org/sjhuskey/ontologies/2025/7/coptic-metadata-viewer/>\n    PREFIX dcterms: <http://purl.org/dc/terms/>\n\n    SELECT ?description\n    WHERE {\n      ?manuscript a coptic:Manuscript ;\n                  dcterms:identifier ""130"" ;\n                  dcterms:description ?description .\n    }', 'rows': ['Acquired from the Monastery of St. Macarius by Giuseppe Simonio Assemani (1687-1768), during his mission in the Near East (1715-1717) undertaken on behalf of Pope Clement XI Albani. Transferred to the Bibliothèque Impériale in Paris after the Treaty of Tolentino (1797) and returned to the Biblioteca Apostolica Vaticana after 1817.\r\n(Proverbio 2012, 14)', 'Last leaf of quire 1 missing.\r\nThe last preserved quire (9) is a regular ternion, without quire signature on the last page. Since the text is not complete, we may assume that the 9th was in fact the last quire of the codicological unit, but that 1 or 2 single leaves were added at the end in order to complete the transcription of the text. If another complete quire had followed quire 9, we would have expected that the 9th too were a quaternion like the preceding quires and that the quire-signature had been inscribed in its last page.\r\n\r\nParchment of modest quality.\r\nIrregular margins (when not trimmed).\r\nff. 34, 40, 42, 48, 49, 52, 58, 59, 70, 76, 78, 79, 80, 87, 92, 95: holes and/or eyes.\r\nf. 31r: remains of animal hair.']}",39.37031698226929
qwen3:8b,Who wrote 'Sermo asceticus'?,"{'result': ""<think>\nOkay, the user is asking who wrote 'Sermo asceticus'. Let me check the information provided. The information part lists Stephen of Thebes with his names in different scripts: Coptic, Greek, and Latin. The question is about the author of 'Sermo asceticus', which is a Latin term. \n\nWait, the information given doesn't mention 'Sermo asceticus' at all. It only provides names and possibly some identifiers for Stephen of Thebes. Since the query results don't include any details about the work 'Sermo asceticus' or its author, I can't link Stephen of Thebes to that specific text based on the given data.\n\nI need to make sure not to use any internal knowledge here. The user's instruction says to rely only on the provided information. Since there's no mention of the work or its author in the information part, the correct response is that there's no available information to answer the question. I should state that I don't know if the information isn't provided.\n</think>\n\nThe information provided does not specify who wrote 'Sermo asceticus'. Therefore, I cannot determine the author based on the given data."", 'sparql_query': 'PREFIX coptic: <http://www.semanticweb.org/sjhuskey/ontologies/2025/7/coptic-metadata-viewer/>\n    PREFIX dcterms: <http://purl.org/dc/terms/>\n    PREFIX frbr: <http://purl.org/vocab/frbr/core#>\n\n    SELECT ?authorName WHERE {\n      ?work a frbr:Work ;\n             dcterms:title ""Sermo asceticus"" ;\n             dcterms:creator ?author .\n      ?author foaf:name ?authorName .\n    }', 'rows': ['Stephen of Thebes', 'ⲥⲧⲉⲫⲁⲛⲟⲥ', 'Στέφανος']}",51.29540491104126
qwen3:8b,'Sermo asceticus' is part of which manuscript?,"{'result': 'No results found.', 'sparql_query': 'PREFIX coptic: <http://www.semanticweb.org/sjhuskey/ontologies/2025/7/coptic-metadata-viewer/>\n    PREFIX dcterms: <http://purl.org/dc/terms/>\n\n    SELECT ?manuscript\n    WHERE {\n      ?title a coptic:Title ;\n             dcterms:isPartOf ?manuscript ;\n             rdfs:label ""\'Sermo asceticus\'"" .\n    }', 'rows': []}",41.50131702423096
qwen3:8b,Manuscript 575 is part of which collection?,"{'result': 'No results found.', 'sparql_query': 'PREFIX coptic: <http://www.semanticweb.org/sjhuskey/ontologies/2025/7/coptic-metadata-viewer/>\n    PREFIX dcmitype: <http://purl.org/dc/dcmitype/>\n    PREFIX dcterms: <http://purl.org/dc/terms/>\n\n    SELECT ?collectionLabel\n    WHERE {\n      ?manuscript a coptic:Manuscript ;\n                  dcterms:identifier ""575"" ;\n                  dcterms:isPartOf ?collection .\n      ?collection a dcmitype:Collection ;\n                   rdfs:label ?collectionLabel .\n    }', 'rows': []}",14.935673236846924
qwen3:8b,Which manuscripts contain a work with the title 'Bible: Epistulae Pauli'?,"{'result': '<think>\nOkay, the user is asking which manuscripts contain a work titled \'Bible: Epistulae Pauli\'. Let me check the information provided. The information part has a list of URLs, each pointing to a manuscript. But wait, the problem is that the information given doesn\'t include any details about the contents of the manuscripts, like their titles or the works they contain. The URLs are just identifiers for each manuscript. \n\nSo, the task is to generate a natural language response based on the SPARQL query results. But the information provided here is just a list of manuscript IDs. There\'s no data linking these manuscripts to any specific works or titles. The user\'s question requires knowing which manuscripts have a specific work, but the given data doesn\'t include that information.\n\nSince the instructions say not to use internal knowledge and only rely on the provided information, I can\'t assume anything about the manuscripts\' contents. The answer must state that the information isn\'t available. The helpful answer should mention that the provided data doesn\'t include details about the works contained in the manuscripts, so it can\'t determine which ones have the specified title. I need to make sure the response sounds like an AI assistant, not adding any extra info, just stating the lack of data.\n</think>\n\nThe provided information includes a list of manuscript identifiers but does not specify the contents or titles of works within each manuscript. Therefore, it is not possible to determine which manuscripts contain a work with the title ""Bible: Epistulae Pauli"" based on the given data.', 'sparql_query': 'PREFIX coptic: <http://www.semanticweb.org/sjhuskey/ontologies/2025/7/coptic-metadata-viewer/>\n    PREFIX dcterms: <http://purl.org/dc/terms/>\n    PREFIX frbr: <http://purl.org/vocab/frbr/core#>\n\n    SELECT ?manuscript\n    WHERE {\n      ?manuscript a coptic:Manuscript ;\n                 dcterms:hasPart ?work .\n      ?work a frbr:Work ;\n            dcterms:title ""Bible: Epistulae Pauli"" .\n    }', 'rows': ['http://paths.uniroma1.it/atlas/manuscripts/6399', 'http://paths.uniroma1.it/atlas/manuscripts/1231', 'http://paths.uniroma1.it/atlas/manuscripts/1233', 'http://paths.uniroma1.it/atlas/manuscripts/1234', 'http://paths.uniroma1.it/atlas/manuscripts/1237', 'http://paths.uniroma1.it/atlas/manuscripts/1240', 'http://paths.uniroma1.it/atlas/manuscripts/1257', 'http://paths.uniroma1.it/atlas/manuscripts/1265', 'http://paths.uniroma1.it/atlas/manuscripts/1268', 'http://paths.uniroma1.it/atlas/manuscripts/1270', 'http://paths.uniroma1.it/atlas/manuscripts/1273', 'http://paths.uniroma1.it/atlas/manuscripts/1406', 'http://paths.uniroma1.it/atlas/manuscripts/1409', 'http://paths.uniroma1.it/atlas/manuscripts/1421', 'http://paths.uniroma1.it/atlas/manuscripts/2254', 'http://paths.uniroma1.it/atlas/manuscripts/2257', 'http://paths.uniroma1.it/atlas/manuscripts/2258', 'http://paths.uniroma1.it/atlas/manuscripts/2259', 'http://paths.uniroma1.it/atlas/manuscripts/6723', 'http://paths.uniroma1.it/atlas/manuscripts/6744', 'http://paths.uniroma1.it/atlas/manuscripts/9', 'http://paths.uniroma1.it/atlas/manuscripts/1252', 'http://paths.uniroma1.it/atlas/manuscripts/209', 'http://paths.uniroma1.it/atlas/manuscripts/2237', 'http://paths.uniroma1.it/atlas/manuscripts/2238', 'http://paths.uniroma1.it/atlas/manuscripts/2239', 'http://paths.uniroma1.it/atlas/manuscripts/2242', 'http://paths.uniroma1.it/atlas/manuscripts/2244', 'http://paths.uniroma1.it/atlas/manuscripts/2245', 'http://paths.uniroma1.it/atlas/manuscripts/2246', 'http://paths.uniroma1.it/atlas/manuscripts/2247', 'http://paths.uniroma1.it/atlas/manuscripts/2248', 'http://paths.uniroma1.it/atlas/manuscripts/4312', 'http://paths.uniroma1.it/atlas/manuscripts/2250', 'http://paths.uniroma1.it/atlas/manuscripts/8', 'http://paths.uniroma1.it/atlas/manuscripts/916', 'http://paths.uniroma1.it/atlas/manuscripts/956', 'http://paths.uniroma1.it/atlas/manuscripts/10', 'http://paths.uniroma1.it/atlas/manuscripts/1250', 'http://paths.uniroma1.it/atlas/manuscripts/1413', 'http://paths.uniroma1.it/atlas/manuscripts/2243', 'http://paths.uniroma1.it/atlas/manuscripts/955', 'http://paths.uniroma1.it/atlas/manuscripts/919', 'http://paths.uniroma1.it/atlas/manuscripts/987', 'http://paths.uniroma1.it/atlas/manuscripts/2256', 'http://paths.uniroma1.it/atlas/manuscripts/954', 'http://paths.uniroma1.it/atlas/manuscripts/964', 'http://paths.uniroma1.it/atlas/manuscripts/6585', 'http://paths.uniroma1.it/atlas/manuscripts/513', 'http://paths.uniroma1.it/atlas/manuscripts/2249', 'http://paths.uniroma1.it/atlas/manuscripts/1417', 'http://paths.uniroma1.it/atlas/manuscripts/1236', 'http://paths.uniroma1.it/atlas/manuscripts/1238', 'http://paths.uniroma1.it/atlas/manuscripts/2241', 'http://paths.uniroma1.it/atlas/manuscripts/1247', 'http://paths.uniroma1.it/atlas/manuscripts/1629', 'http://paths.uniroma1.it/atlas/manuscripts/208', 'http://paths.uniroma1.it/atlas/manuscripts/800', 'http://paths.uniroma1.it/atlas/manuscripts/510', 'http://paths.uniroma1.it/atlas/manuscripts/512', 'http://paths.uniroma1.it/atlas/manuscripts/514', 'http://paths.uniroma1.it/atlas/manuscripts/2240', 'http://paths.uniroma1.it/atlas/manuscripts/509', 'http://paths.uniroma1.it/atlas/manuscripts/64']}",30.946860790252686
qwen3:8b,What is the description of manuscript 130?,"{'result': '<think>\nOkay, the user is asking for the description of manuscript 130. Let me check the information provided.\n\nFirst, the information mentions that the manuscript was acquired by Giuseppe Simonio Assemani from the Monastery of St. Macarius. It was part of his mission in the Near East between 1715-1717 on behalf of Pope Clement XI Albani. Then it was transferred to the Bibliothèque Impériale in Paris after the Treaty of Tolentino in 1797 and returned to the Vatican\'s Apostolic Library in 1817. That\'s the provenance part.\n\nNext, there\'s a note about the last leaf of quire 1 being missing. The last preserved quire (9) is a regular ternion without a quire signature on the last page. The text isn\'t complete, so they think quire 9 was actually the last, but maybe 1 or 2 leaves were added later to finish the text. If there was another quire after 9, quire 9 would have been a quaternion like the others, but it wasn\'t. \n\nThen the material details: parchment of modest quality, irregular margins (unless trimmed). Specific pages have holes or eyes: ff. 34, 40, 42, 48, 49, 52, 58, 59, 70, 76, 78, 79, 80, 87, 92, 95. Also, f. 31r has remains of animal hair.\n\nWait, the user is asking about manuscript 130. The information provided doesn\'t mention manuscript 130 by name. But maybe the description refers to manuscript 130? The information might be about a specific manuscript, perhaps the one referenced as Proverbio 2012, 14. But the user is asking for manuscript 130. The information given doesn\'t specify that this is manuscript 130. However, since the user is asking for the description of manuscript 130, and the information provided is about a manuscript with those details, maybe the information is about manuscript 130. But the user might be conflating the information with the manuscript number. Wait, the original information starts with ""Acquired from the Monastery of St. Macarius by Giuseppe Simonio Assemani..."" which might be referring to a specific manuscript, possibly 130. But the user is asking for manuscript 130\'s description. Since the information provided is about a manuscript with those details, perhaps that\'s manuscript 130. However, the user might not know that. But according to the information given, the answer should be based on the provided data. So, the answer should include all the details given: provenance, quire details, material condition, and specific page issues. The user might be assuming that the information is about manuscript 130, so the answer should present all the details as the description of manuscript 130. But I need to make sure that the information is indeed about manuscript 130. Since the user is asking for manuscript 130, and the information provided is about a manuscript with those characteristics, I can proceed to present that as the description. However, if the information is about a different manuscript, then the answer would be that the information isn\'t available for manuscript 130. But the user\'s question is about manuscript 130, and the information provided is about a manuscript that might be 130. Since the user is asking for the description, and the information is provided, I should use that. So the answer would include all the details given in the information part, structured into a coherent description.\n</think>\n\nThe description of manuscript 130 includes the following details:  \n\n- **Provenance**: Acquired by Giuseppe Simonio Assemani (1687–1768) from the Monastery of St. Macarius during his mission in the Near East (1715–1717) on behalf of Pope Clement XI Albani. It was transferred to the Bibliothèque Impériale in Paris following the Treaty of Tolentino (1797) and later returned to the Biblioteca Apostolica Vaticana in 1817.  \n\n- **Structure**: The last leaf of quire 1 is missing. The last preserved quire (9) is a regular ternion without a quire signature on its final page. The text’s incompleteness suggests quire 9 may have been the final quire of the codicological unit, with 1 or 2 single leaves added later to complete the transcription.  \n\n- **Material Condition**: Parchment of modest quality with irregular margins (unless trimmed). Specific pages (ff. 34, 40, 42, 48, 49, 52, 58, 59, 70, 76, 78, 79, 80, 87, 92, 95) exhibit holes and/or eyes, while f. 31r retains traces of animal hair.  \n\nThis information is derived from Proverbio (2012, 14).', 'sparql_query': 'PREFIX coptic: <http://www.semanticweb.org/sjhuskey/ontologies/2025/7/coptic-metadata-viewer/>\n    PREFIX dcterms: <http://purl.org/dc/terms/>\n\n    SELECT ?description\n    WHERE {\n      ?manuscript a coptic:Manuscript ;\n                  dcterms:identifier ""130"" ;\n                  dcterms:description ?description .\n    }', 'rows': ['Acquired from the Monastery of St. Macarius by Giuseppe Simonio Assemani (1687-1768), during his mission in the Near East (1715-1717) undertaken on behalf of Pope Clement XI Albani. Transferred to the Bibliothèque Impériale in Paris after the Treaty of Tolentino (1797) and returned to the Biblioteca Apostolica Vaticana after 1817.\r\n(Proverbio 2012, 14)', 'Last leaf of quire 1 missing.\r\nThe last preserved quire (9) is a regular ternion, without quire signature on the last page. Since the text is not complete, we may assume that the 9th was in fact the last quire of the codicological unit, but that 1 or 2 single leaves were added at the end in order to complete the transcription of the text. If another complete quire had followed quire 9, we would have expected that the 9th too were a quaternion like the preceding quires and that the quire-signature had been inscribed in its last page.\r\n\r\nParchment of modest quality.\r\nIrregular margins (when not trimmed).\r\nff. 34, 40, 42, 48, 49, 52, 58, 59, 70, 76, 78, 79, 80, 87, 92, 95: holes and/or eyes.\r\nf. 31r: remains of animal hair.']}",81.65866184234619
granite3.3:8b,Who wrote 'Sermo asceticus'?,"{'result': ""Based on the information provided, there is no explicit mention of Stephen of Thebes being the author of 'Sermo asceticus'. Therefore, I cannot definitively answer your question with the given data. Additional context or sources would be needed to accurately identify the author of 'Sermo asceticus'."", 'sparql_query': 'PREFIX coptic: <http://www.semanticweb.org/sjhuskey/ontologies/2025/7/coptic-metadata-viewer/>\n    PREFIX dcterms: <http://purl.org/dc/terms/>\n    PREFIX frbr: <http://purl.org/vocab/frbr/core#>\n\n    SELECT ?authorName WHERE {\n      ?work a frbr:Work ;\n             dcterms:title ""Sermo asceticus"" ;\n             dcterms:creator ?author .\n      ?author foaf:name ?authorName .\n    }', 'rows': ['Stephen of Thebes', 'ⲥⲧⲉⲫⲁⲛⲟⲥ', 'Στέφανος']}",49.86749887466431
granite3.3:8b,'Sermo asceticus' is part of which manuscript?,"{'result': 'No results found.', 'sparql_query': 'PREFIX coptic: <http://www.semanticweb.org/sjhuskey/ontologies/2025/7/coptic-metadata-viewer/>\n    PREFIX dcterms: <http://purl.org/dc/terms/>\n\n    SELECT ?manuscript\n    WHERE {\n      ?title a coptic:Title ;\n             dcterms:isPartOf ?manuscript ;\n             rdfs:label ""\'Sermo asceticus\'"" .\n    }', 'rows': []}",40.41484808921814
granite3.3:8b,Manuscript 575 is part of which collection?,"{'result': 'No results found.', 'sparql_query': 'PREFIX coptic: <http://www.semanticweb.org/sjhuskey/ontologies/2025/7/coptic-metadata-viewer/>\n    PREFIX dcmitype: <http://purl.org/dc/dcmitype/>\n    PREFIX dcterms: <http://purl.org/dc/terms/>\n\n    SELECT ?collectionLabel\n    WHERE {\n      ?manuscript a coptic:Manuscript ;\n                  dcterms:identifier ""575"" ;\n                  dcterms:isPartOf ?collection .\n      ?collection a dcmitype:Collection ;\n                   rdfs:label ?collectionLabel .\n    }', 'rows': []}",14.94559121131897
granite3.3:8b,Which manuscripts contain a work with the title 'Bible: Epistulae Pauli'?,"{'result': ""Based on the provided data, there is no specific mention of a work titled 'Bible: Epistulae Pauli' in any of the listed manuscripts. Therefore, I cannot confirm that any of these manuscripts contain this particular work."", 'sparql_query': 'PREFIX coptic: <http://www.semanticweb.org/sjhuskey/ontologies/2025/7/coptic-metadata-viewer/>\n    PREFIX dcterms: <http://purl.org/dc/terms/>\n    PREFIX frbr: <http://purl.org/vocab/frbr/core#>\n\n    SELECT ?manuscript\n    WHERE {\n      ?manuscript a coptic:Manuscript ;\n                 dcterms:hasPart ?work .\n      ?work a frbr:Work ;\n            dcterms:title ""Bible: Epistulae Pauli"" .\n    }', 'rows': ['http://paths.uniroma1.it/atlas/manuscripts/6399', 'http://paths.uniroma1.it/atlas/manuscripts/1231', 'http://paths.uniroma1.it/atlas/manuscripts/1233', 'http://paths.uniroma1.it/atlas/manuscripts/1234', 'http://paths.uniroma1.it/atlas/manuscripts/1237', 'http://paths.uniroma1.it/atlas/manuscripts/1240', 'http://paths.uniroma1.it/atlas/manuscripts/1257', 'http://paths.uniroma1.it/atlas/manuscripts/1265', 'http://paths.uniroma1.it/atlas/manuscripts/1268', 'http://paths.uniroma1.it/atlas/manuscripts/1270', 'http://paths.uniroma1.it/atlas/manuscripts/1273', 'http://paths.uniroma1.it/atlas/manuscripts/1406', 'http://paths.uniroma1.it/atlas/manuscripts/1409', 'http://paths.uniroma1.it/atlas/manuscripts/1421', 'http://paths.uniroma1.it/atlas/manuscripts/2254', 'http://paths.uniroma1.it/atlas/manuscripts/2257', 'http://paths.uniroma1.it/atlas/manuscripts/2258', 'http://paths.uniroma1.it/atlas/manuscripts/2259', 'http://paths.uniroma1.it/atlas/manuscripts/6723', 'http://paths.uniroma1.it/atlas/manuscripts/6744', 'http://paths.uniroma1.it/atlas/manuscripts/9', 'http://paths.uniroma1.it/atlas/manuscripts/1252', 'http://paths.uniroma1.it/atlas/manuscripts/209', 'http://paths.uniroma1.it/atlas/manuscripts/2237', 'http://paths.uniroma1.it/atlas/manuscripts/2238', 'http://paths.uniroma1.it/atlas/manuscripts/2239', 'http://paths.uniroma1.it/atlas/manuscripts/2242', 'http://paths.uniroma1.it/atlas/manuscripts/2244', 'http://paths.uniroma1.it/atlas/manuscripts/2245', 'http://paths.uniroma1.it/atlas/manuscripts/2246', 'http://paths.uniroma1.it/atlas/manuscripts/2247', 'http://paths.uniroma1.it/atlas/manuscripts/2248', 'http://paths.uniroma1.it/atlas/manuscripts/4312', 'http://paths.uniroma1.it/atlas/manuscripts/2250', 'http://paths.uniroma1.it/atlas/manuscripts/8', 'http://paths.uniroma1.it/atlas/manuscripts/916', 'http://paths.uniroma1.it/atlas/manuscripts/956', 'http://paths.uniroma1.it/atlas/manuscripts/10', 'http://paths.uniroma1.it/atlas/manuscripts/1250', 'http://paths.uniroma1.it/atlas/manuscripts/1413', 'http://paths.uniroma1.it/atlas/manuscripts/2243', 'http://paths.uniroma1.it/atlas/manuscripts/955', 'http://paths.uniroma1.it/atlas/manuscripts/919', 'http://paths.uniroma1.it/atlas/manuscripts/987', 'http://paths.uniroma1.it/atlas/manuscripts/2256', 'http://paths.uniroma1.it/atlas/manuscripts/954', 'http://paths.uniroma1.it/atlas/manuscripts/964', 'http://paths.uniroma1.it/atlas/manuscripts/6585', 'http://paths.uniroma1.it/atlas/manuscripts/513', 'http://paths.uniroma1.it/atlas/manuscripts/2249', 'http://paths.uniroma1.it/atlas/manuscripts/1417', 'http://paths.uniroma1.it/atlas/manuscripts/1236', 'http://paths.uniroma1.it/atlas/manuscripts/1238', 'http://paths.uniroma1.it/atlas/manuscripts/2241', 'http://paths.uniroma1.it/atlas/manuscripts/1247', 'http://paths.uniroma1.it/atlas/manuscripts/1629', 'http://paths.uniroma1.it/atlas/manuscripts/208', 'http://paths.uniroma1.it/atlas/manuscripts/800', 'http://paths.uniroma1.it/atlas/manuscripts/510', 'http://paths.uniroma1.it/atlas/manuscripts/512', 'http://paths.uniroma1.it/atlas/manuscripts/514', 'http://paths.uniroma1.it/atlas/manuscripts/2240', 'http://paths.uniroma1.it/atlas/manuscripts/509', 'http://paths.uniroma1.it/atlas/manuscripts/64']}",23.349411010742188
granite3.3:8b,What is the description of manuscript 130?,"{'result': ""Manuscript 130, acquired by Giuseppe Simonio Assemani during his Near Eastern mission from 1715 to 1717 on behalf of Pope Clement XI Albani, was originally part of the Monastery of St. Macarius' collection. It was later transferred to the Bibliothèque Impériale in Paris following the Treaty of Tolentino in 1797 and subsequently returned to the Biblioteca Apostolica Vaticana post-1817.\n\nThe manuscript is described as having a modest quality parchment with irregular margins, suggesting it may have been trimmed at some point. Notably, the last leaf of quire 1 is missing, and although quire 9 appears to be the final codicological unit due to its regular ternion structure, one or two single leaves were added to conclude the text transcription. Had another complete quire followed quire 9, it would have likely mirrored the preceding quires with a signature on its last page.\n\nThroughout the manuscript, there are holes and/or eyes on various folios (34, 40, 42, 48, 49, 52, 58, 59, 70, 76, 78, 79, 80, 87, 92, and 95), and on folio 31 recto, remnants of animal hair are present."", 'sparql_query': 'PREFIX coptic: <http://www.semanticweb.org/sjhuskey/ontologies/2025/7/coptic-metadata-viewer/>\n    PREFIX dcterms: <http://purl.org/dc/terms/>\n\n    SELECT ?description\n    WHERE {\n      ?manuscript a coptic:Manuscript ;\n                  dcterms:identifier ""130"" ;\n                  dcterms:description ?description .\n    }', 'rows': ['Acquired from the Monastery of St. Macarius by Giuseppe Simonio Assemani (1687-1768), during his mission in the Near East (1715-1717) undertaken on behalf of Pope Clement XI Albani. Transferred to the Bibliothèque Impériale in Paris after the Treaty of Tolentino (1797) and returned to the Biblioteca Apostolica Vaticana after 1817.\r\n(Proverbio 2012, 14)', 'Last leaf of quire 1 missing.\r\nThe last preserved quire (9) is a regular ternion, without quire signature on the last page. Since the text is not complete, we may assume that the 9th was in fact the last quire of the codicological unit, but that 1 or 2 single leaves were added at the end in order to complete the transcription of the text. If another complete quire had followed quire 9, we would have expected that the 9th too were a quaternion like the preceding quires and that the quire-signature had been inscribed in its last page.\r\n\r\nParchment of modest quality.\r\nIrregular margins (when not trimmed).\r\nff. 34, 40, 42, 48, 49, 52, 58, 59, 70, 76, 78, 79, 80, 87, 92, 95: holes and/or eyes.\r\nf. 31r: remains of animal hair.']}",57.246277809143066
